Name: Scott Davidson
Date: 2-20-16
Time: 10:15
1048 400 80
1072 464 104
1016 456 152
952 456 8
1024 464 -192
976 432 -144
1072 392 -136
1048 376 0
1024 344 16
1008 368 0
1016 368 -8
1024 320 56
1032 336 48
928 256 32
984 224 152
992 264 48
984 312 -72
920 304 -192
1048 320 -88
968 344 16
1160 400 80
1112 352 136
1032 288 168
968 224 88
1000 208 112
984 224 -104
1104 240 32
1088 312 -112

1032 248 48
896 200 128
952 200 136
1136 232 80
1064 272 -24
1064 240 48
944 232 -96
888 288 -208
968 288 -208
1216 328 0
1160 288 56
1256 288 104
1128 264 96
952 248 64
928 224 112
1000 232 120
960 312 -120
1088 264 -48
968 272 -32
896 312 -96
976 320 -120
1040 288 -88
1288 200 136
1264 264 16
1072 192 24
968 104 128
952 232 240
1024 336 128
1016 424 160
1024 440 176
968 416 88
1000 392 48
1016 400 -48
1064 472 -56
1008 344 -48
1048 304 16
1032 368 64
1016 416 80
1040 400 0
1048 368 24
1040 344 56
864 240 -40
1040 208 88
1024 232 40
968 232 -8
920 272 -104
1016 304 -72
1088 392 -96
1144 360 40
1192 344 160
1128 328 88
984 280 136
936 224 144
1016 232 72
1056 248 -72
1080 232 32
1040 288 -40
944 344 -168
976 360 -152
1224 424 -120
1272 352 16
1288 328 88
1128 296 112
968 256 88
936 240 120
1016 272 48
1008 296 -96
1112 288 8
1064 304 -88
968 344 -152
984 368 -200
1200 360 -48
1112 336 -48
1184 336 152
1104 312 104
976 288 96
920 264 40
872 280 -16
888 304 -64
1208 328 40
1096 336 -144
952 336 -104
888 336 -192
1040 320 -48
968 352 -88
1144 328 232
1112 320 184
1024 296 200
968 328 80
960 360 32
896 416 -112
1016 376 -112
1032 328 -128
936 328 -16
920 352 -16
992 344 72
1008 376 232
912 368 344
952 440 576
992 512 528
1056 488 328
1064 416 328
1040 352 208
920 288 16
912 256 -32
1032 272 -80
1048 240 -120
992 312 -64
960 280 -144
1128 336 -16
992 360 -64
1056 304 200
1072 296 40
1024 272 72
920 248 40
880 216 64
944 264 0
1088 216 0
1072 248 24
1008 296 -32
920 320 -144
1032 328 -208
984 320 -24
1216 288 168
1152 288 80
1000 256 168
896 224 88
960 232 104
992 296 16
1112 264 -80
1056 232 -40
952 264 -112
856 264 -112
1024 256 24
1016 336 -32
1176 312 152
1112 280 128
992 264 96
920 216 56
960 232 88
936 296 -32
1088 248 0
1032 256 -72
952 280 -56
896 280 -88
1040 288 -48
976 344 -40
1176 296 112
1120 288 80
992 280 56
936 240 72
952 248 72
920 304 -88
1056 264 8
1040 256 -72
960 288 -32
904 296 -80
984 304 -96
1016 320 -88
1256 256 64
1160 256 32
1048 272 -64
960 240 16
936 208 120
1048 280 120
1104 280 80
1136 312 192
1088 368 312
984 432 336
928 472 160
984 456 -88
976 432 -136
1008 384 -248
1048 368 -80
1040 416 8
1040 376 96
1040 320 96
1048 272 80
1032 256 48
888 288 -32
1040 248 88
992 272 -8
952 280 56
896 328 -88
1024 320 -24
1096 400 -72
1200 344 72
1168 320 160
1080 264 136
952 216 96
984 208 136
960 256 -24
1128 200 40
1048 240 -40
968 296 -48
920 312 -128
1056 336 -96
1064 368 -80
1232 288 160
1128 288 80
1024 272 192
904 240 64
904 216 240
936 264 -64
1192 312 -64
1120 320 48
984 328 0
880 328 -160
1048 344 -8
1000 368 -56
1192 312 160
1112 288 112
1024 272 152
920 232 32
912 256 80
936 296 -24
1136 296 16
1064 304 -72
976 336 -32
888 328 -152
968 304 -32
1016 328 -56
1192 320 136
1128 296 64
1040 248 160
1008 208 96
936 208 40
968 248 40
1080 304 56
1120 320 64
1032 288 120
968 280 112
960 288 80
976 280 56
968 296 32
992 336 16
1000 360 96
1024 376 64
1016 416 56
1008 424 48
992 416 16
984 432 8
992 400 24
1056 360 24
944 280 80
1024 184 176
1040 208 72
976 240 8
904 304 -112
976 312 -104

920 208 48
1000 264 56
976 360 -224
1160 272 88
1048 304 -120
912 328 -176
864 320 -160
1064 296 -88
984 328 -176
1216 272 152
1128 296 32
936 288 104
888 224 80
920 240 72
1000 304 -64
1168 280 -120
1128 240 -96
968 256 -96
856 272 -176
960 272 -160
1192 304 -96
1064 312 -96
1184 264 104
1120 232 104
1024 208 144
920 176 88
944 160 104
1104 240 80
1120 312 -16
1088 328 96
1040 328 64
992 320 8
992 280 -72
992 304 -176
992 320 -96
984 288 -40
1008 256 -40
992 224 -96
1064 216 128
1040 208 184
1000 272 8
968 376 32
968 424 -40
944 456 -72
976 448 -56
1048 432 -40
1000 352 8
880 224 88
1000 216 120
976 208 56
984 288 -24
992 328 -144
1064 328 -104
1096 360 -88
1120 288 -16
1192 288 -32
1072 336 56
952 296 96
944 264 64
976 264 32
912 328 -128
1016 280 72
992 296 -56
976 336 -56
976 304 -104
1024 304 -120
1096 320 -72
1104 280 128
1144 248 72
1072 256 104
968 280 168
952 256 32
1072 248 24
960 248 -96
1040 208 -32
984 232 -88
936 280 -96
976 296 -120
1128 312 -88
1024 336 -16
1120 320 96
1040 288 72
1000 312 96
992 312 32
1000 320 24
936 336 -56
936 272 -64
944 272 -48
944 272 -64
960 296 -120
1072 304 -176
1152 352 -112
1136 312 -104
1104 280 8
1032 272 -8
960 280 24
976 328 48
992 368 32
864 400 -112
992 320 -152
1008 296 -184
952 296 -120
960 280 -8
1016 176 0
1048 192 80
1000 280 336
992 328 384
1008 368 376
1024 344 288
1024 312 280
1032 208 288
1024 192 88
960 272 96
976 360 -56
976 408 40
992 392 80
960 400 64
920 384 40
920 376 16
920 384 24
952 288 104
1048 312 72
1056 336 40
1008 344 0
1064 328 48
1176 376 -80
1024 360 -144
1080 296 48
968 240 40
904 224 0
928 296 -16
1040 352 -8
928 344 -16
1088 336 0
1016 336 -32
968 328 -16
1040 344 48
1160 368 24
944 368 -160
1144 264 -72
1040 264 -80
944 248 -16
840 328 -64
856 416 -72
856 432 8
1064 368 112
1048 344 40
984 344 72
992 304 32
1072 344 56
984 384 -112
1104 296 -72
984 280 -120
936 280 -24
896 336 8
944 376 -40
928 424 -48
1032 384 0
1032 360 56
952 336 56
928 288 80
1088 320 168
1064 408 -40
1008 392 -216
1064 336 -40
968 296 -72
848 272 -112
944 256 -16
1040 232 72
1200 168 224
1128 200 104
1008 208 160
1056 216 320
1008 304 296
984 296 112
944 272 40
952 264 0
984 296 64
1000 320 -32
1024 344 -96
1016 344 -120
1056 288 -128
1016 280 -24
1072 320 152
1008 296 120
960 272 136
976 272 32
1024 280 8
1088 328 40
984 320 48
1040 288 64
952 248 -8
944 248 -48
968 232 -136
1056 224 -32
1080 256 0
1144 240 120
1048 264 96
928 256 72
896 256 72
1008 256 96
1192 296 80
1016 296 -64
1032 240 64
944 248 -32
920 264 -64
960 272 -104
1112 240 16
1000 280 -8
1096 280 152
1024 264 104
960 256 128
968 240 104
1008 216 72
912 248 -24
1040 240 -8
1000 240 8
936 248 -88
912 296 -112
1064 312 -64
1064 344 -24
1216 304 128
1120 288 160
968 288 112
920 288 56
960 280 96
936 312 40
1080 288 -16
1024 264 -24
960 280 -8
896 312 -112
1000 320 -48
1072 360 -64
1200 320 56
1096 304 40
968 304 80
920 344 64
960 384 40
992 424 160
880 312 -72
976 264 -80
960 312 -56
888 288 -136
1056 248 24
1208 304 -72
1064 432 240
928 448 368
920 480 464
968 448 344
992 408 240

928 232 32
968 296 -16
1104 272 -112
1056 248 -8
936 264 -48
856 280 -112
976 280 -128
1192 360 -88
1088 328 -32
1152 344 168
1032 304 64
992 344 16
1000 312 24
1032 288 24
904 312 -96
1056 256 40
1032 280 -40
992 312 0
944 328 -88
1000 320 -24
1056 336 -64
1216 176 128
1168 136 -144
1024 144 16
1016 144 104
1096 216 160
992 304 -56
1008 256 128
1032 280 120
984 304 120
984 344 88
968 368 -24
992 328 40
984 280 8
1024 248 -40
1032 232 -16
1128 112 712
896 64 -88
952 184 208
992 240 80
1056 200 56
1184 280 104
1088 296 -64
1056 224 -24
1032 224 -40
960 232 -8
864 200 24
904 224 -40
1208 248 80
1128 312 80
1104 304 120
944 312 8
848 312 16
1080 344 88
1248 344 32
1000 304 -64
1152 216 216
944 248 8
784 216 -24
792 232 -16
1000 264 -16
1016 352 -16
1144 360 168
1000 336 -48
928 320 32
1048 296 64
1176 320 72
1064 248 -64
1056 192 80
888 192 -24
800 176 -8
904 184 -24
1208 248 64
1096 344 8
1152 344 24
1000 336 -24
960 280 80
1088 256 160
1200 184 200
1112 112 32
1048 88 96
936 128 -56
856 208 -144
1000 264 -104
1256 352 -16
1232 304 24
1208 296 104
1056 264 104
928 216 104
944 256 80
968 352 -112
1144 384 -72
1008 368 -176
